LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithDial_upInternetSubscriptionAlone,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithABroadbandInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithoutAnInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_NoComputer,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithDial_upInternetSubscriptionAlone,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithABroadbandInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithoutAnInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_NoComputer,BachelorsDegreeOrHigher_HasAComputer_WithDial_upInternetSubscriptionAlone,BachelorsDegreeOrHigher_HasAComputer_WithABroadbandInternetSubscription,BachelorsDegreeOrHigher_HasAComputer_WithoutAnInternetSubscription,BachelorsDegreeOrHigher_NoComputer,stateId
40,32568,6687,8862,748,236655,15483,14077,294,167324,3496,1332,SC-02
57,26527,3944,9354,1130,300409,26677,27887,224,164410,6054,3120,SD-00
187,39310,9815,21566,196,267718,28877,28325,201,106610,3910,2491,TN-01
240,38695,8387,7334,773,212925,18452,15552,593,225424,4164,2344,TN-05
10,33406,6095,11108,239,259158,19045,19950,263,164282,3958,1771,TN-07
67,32439,10422,11358,437,254267,27886,17745,134,154790,5615,2763,TN-02
0,36675,12875,10832,24,207554,27343,43395,47,101634,5293,3304,TN-09
131,77302,25660,15905,153,208570,23601,9196,33,86113,3355,1251,TX-28
77,44451,10609,8221,1653,236848,34713,21814,182,95936,5457,3123,TX-01
0,35694,8919,3993,110,191113,13345,6296,36,253925,6591,2254,TX-07
0,43801,4848,4719,483,277371,11966,8069,138,163848,3470,1555,TX-06
0,38790,9827,10289,69,220502,24379,16518,0,147755,6800,2944,TX-17
679,54195,6489,8616,509,285544,19296,15750,0,93688,1704,1579,TX-36
0,62958,7354,13515,71,225427,16965,15157,0,105341,4716,2000,TX-16
56,37923,9428,3075,55,223163,15790,5598,253,270488,6763,997,TX-24
0,125263,24479,17182,274,186806,17909,12498,141,53994,3068,707,TX-33
77,54236,11835,8859,278,266955,29968,13451,255,111309,4235,3003,TX-11
0,79100,25659,23487,216,192421,30091,11753,57,93023,5955,1829,TX-15
24,57071,20373,19750,158,216798,28909,20503,0,110510,5941,1562,TX-23
365,44344,7904,4204,296,284221,20822,8317,71,170989,4007,1866,TX-12
0,55830,6164,6041,989,290305,19152,12113,1104,174327,3225,1304,TX-08
43,68370,26148,30354,250,172877,33803,19297,94,59111,5007,2059,TX-34
94,64153,13309,21120,590,212551,30589,33157,39,104960,3925,1937,TX-30
84,79661,16391,15547,302,228661,28451,21779,135,114781,2178,2545,TX-18
144,47022,4068,9417,269,208130,11945,8671,267,229215,4811,1498,TX-02
0,64742,13501,14493,253,253247,28279,15053,152,116796,7846,1111,TX-20
165,28094,4447,3655,434,242669,17412,7875,478,264763,10665,2045,TX-21
0,35989,3615,4065,160,305232,13720,10709,60,210060,3614,1848,TX-31
109,34482,2650,5912,347,239638,14926,13354,467,213948,5445,2672,TX-25
130,47331,7394,4942,172,203988,13196,4241,110,227767,3996,2622,TX-32
0,25126,4998,2205,54,227101,10686,3953,56,324428,5500,733,TX-03
111,44519,9202,8369,548,276119,26076,24642,94,115691,5397,3074,TX-04
124,47497,7458,8255,277,240113,25667,18857,37,91769,4019,2559,TX-13
0,37314,3079,2476,169,268382,8136,5068,0,267366,4975,1637,TX-26
108,79926,11518,13445,202,231009,17392,13167,0,127194,3891,1376,TX-09
250,19214,2625,7228,2155,197858,20596,16674,544,159277,8862,2597,VT-00
32,27206,2746,2281,646,262100,9773,7413,613,142013,3616,520,UT-01
0,32924,2282,2590,838,274368,14317,8171,356,166698,5491,1005,UT-04
0,34061,6926,7972,521,262577,20543,10769,94,202796,6684,2001,VA-01
0,31612,3705,2963,371,188107,10446,5618,262,313015,5033,1401,VA-10
328,32294,10096,19490,803,226361,32791,34073,251,138907,8280,2723,VA-05
87,32193,5443,6643,384,245156,17684,14571,156,218563,4093,3175,VA-07
36,38176,4441,1506,237,175295,4712,3211,213,300093,4056,1938,VA-11
126,36903,8494,21745,1177,237649,34960,31175,463,99501,5109,3088,VA-09
43,37331,4041,4009,0,149043,7346,7294,456,355556,6940,3405,VA-08
0,32736,5220,4904,581,305446,17348,12087,352,135909,4764,1750,WA-03
0,36708,2682,4128,304,298399,17896,10694,55,139294,4222,1938,WA-10
363,74111,5252,7938,461,234720,15444,12956,47,97060,3278,1350,WA-04
69,23962,1484,2800,395,171901,10033,8003,322,367060,6434,3289,WA-07
21,45107,3952,3315,417,221035,7455,8778,39,232041,4693,1375,WA-09
41,37182,3538,2305,644,261356,11876,7127,577,184148,3690,1293,WA-08
30,28920,5250,7951,1493,226542,19917,26359,194,93018,3485,1947,WV-01
268,30676,4629,13373,1390,243210,21398,23336,143,95967,2655,1723,WV-02
301,18136,2796,6862,1928,267342,17917,25443,284,121176,4057,3354,WI-03
140,39015,7566,10448,479,205186,25822,24748,272,123858,5295,2143,WI-04
