InTheCivilianLaborForce_Employed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Employed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Employed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Employed_NoComputer,InTheCivilianLaborForce_Unemployed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Unemployed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Unemployed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Unemployed_NoComputer,NotInLaborForce_HasAComputer_WithDial_upInternetSubscriptionAlone,NotInLaborForce_HasAComputer_WithABroadbandInternetSubscription,NotInLaborForce_HasAComputer_WithoutAnInternetSubscription,NotInLaborForce_NoComputer,stateId
546,444256,14704,3018,0,17540,433,252,610,170214,10664,10258,NC-04
494,317031,21526,9732,59,17845,650,532,1141,178201,23687,30370,NC-05
256,360580,11073,5193,0,15107,1199,573,546,145105,11066,18160,OH-01
777,313099,27837,9757,0,11100,1327,503,1971,208917,18220,37588,NC-11
586,329058,15687,10168,0,16737,988,432,1279,181681,13379,24828,NC-08
0,457920,18617,11434,0,17796,991,883,0,157723,13807,13576,NC-12
498,299168,22396,19418,0,10363,1774,346,798,154572,19863,31790,OH-07
363,324961,14501,14794,0,12003,1115,671,1137,158833,16501,24422,OH-14
180,387179,18011,8798,62,18014,1974,2459,311,142514,12613,17222,OH-03
0,314037,11903,8313,0,15811,1570,631,295,163839,13588,22667,OH-10
761,340838,15680,6557,0,11575,826,978,654,151313,12146,21653,OH-05
126,305945,16178,7439,0,16309,1433,992,974,168647,18662,31697,OH-13
227,364597,14295,4643,0,11246,954,210,843,163738,13025,22172,OH-15
183,291632,18763,8176,0,18847,1538,715,1181,148962,22820,26381,OH-09
169,384675,10680,5029,0,11276,918,115,715,168673,9709,16101,OH-12
440,254823,33690,11994,32,12205,2619,614,1283,175996,36686,40086,OK-02
233,308886,28089,6233,0,10233,1610,247,403,173690,24725,24470,OK-03
57,335074,18508,6403,0,14292,1248,187,224,177127,21656,21177,OK-04
863,418275,15038,4395,0,16216,827,206,786,197147,13247,10077,OR-01
324,363007,21882,5146,0,21483,2034,311,803,213295,16962,15476,OR-05
1081,344401,18334,5686,159,19943,1711,216,841,219871,26276,22456,OR-02
279,264326,7041,3953,0,11010,588,214,229,110984,7661,16214,RI-02
214,345524,49307,5041,0,11578,1801,427,856,186781,27977,16692,SC-01
