Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
3576,223,9115,915,3583,830,3740,1406,3336,2784,3648,1115,1377,58,152,42,0,159,AR-03
,,,,,,,,,,,,,,,,,,AR-02
8529,106,24216,863,14278,3341,12169,4548,9467,2686,11939,2504,8132,1661,6294,0,1809,0,CA-36
19209,813,42405,2851,21426,4017,26102,6396,23462,9947,20778,7112,14453,4390,9017,385,4214,156,CA-46
1742,0,3739,0,1955,442,2450,46,3544,82,2376,50,3139,187,380,0,1061,0,CA-33
4235,98,12701,445,7051,667,9711,764,9826,1122,8120,1011,6401,107,4079,0,2467,0,CA-15
7203,680,17779,1342,8277,1611,9953,3779,8893,4489,8390,2156,6546,1629,2011,277,1586,0,CA-47
889,498,2406,307,919,464,760,400,300,735,246,94,387,0,68,0,0,47,TN-08
1471,205,4122,775,945,988,1260,1017,1845,1318,880,1201,245,0,0,0,0,0,TN-06
8171,2243,14808,5699,3850,5042,7069,9262,5473,8083,6655,7782,6341,5728,7282,216,2241,275,TX-29
2545,205,6491,2225,2339,1915,3613,2187,3728,3485,2119,1336,2169,1900,2802,5,1211,0,TX-27
936,97,2273,1164,672,512,1031,2058,1037,1167,852,394,1256,208,639,0,295,0,TX-14
2545,1123,5314,1503,1381,3068,1623,2546,2321,1912,1970,1091,1990,821,411,122,668,0,TX-05
7533,440,15284,6118,3365,4928,6797,3730,6561,5186,6023,4294,2725,554,2598,110,518,0,TX-10
4843,450,13330,4366,6347,3923,7375,3783,7577,4012,5398,3820,2723,1109,3432,64,1445,265,TX-35
2698,161,3638,1716,1398,744,4105,1236,4086,2162,2029,1682,736,1097,2143,0,141,276,TX-22
2034,646,6697,2165,2311,911,2555,2445,3015,3068,2546,530,3312,369,1885,0,689,0,TX-19
45,0,1288,211,1606,903,1035,524,699,257,1455,561,817,148,410,0,448,0,UT-03
3970,944,7557,5091,3527,1996,4362,2760,3970,3845,3186,2347,1807,943,866,725,1055,0,UT-02
1103,35,4833,457,447,531,1113,554,2322,1149,741,553,356,274,293,99,54,0,VA-03
1803,639,2283,1878,293,759,846,1407,760,2759,882,1138,436,119,691,0,0,0,VA-04
1445,69,2175,136,763,526,2465,379,1602,200,1099,386,1106,319,136,0,476,80,VA-02
955,144,1957,290,1660,171,775,69,789,631,774,46,190,0,81,0,0,0,VA-06
2800,0,7518,143,1106,2060,3067,1737,3531,1874,2135,1080,593,952,261,0,118,0,WA-01
672,0,1550,21,2339,263,1371,569,874,722,614,301,936,302,244,0,346,0,WA-05
2118,47,5556,0,3381,1024,3269,861,2077,2834,2901,322,1320,22,895,0,127,0,WA-02
800,197,2629,375,482,441,1806,1302,1801,536,1005,290,769,0,210,0,11,0,WA-06
,,,,,,,,,,,,,,,,,,WV-03
1320,0,3519,145,1148,415,988,290,1747,1198,1956,807,344,147,658,0,88,0,WI-01
278,334,2369,48,687,630,871,405,567,368,1112,1066,567,0,645,0,728,0,WI-05
1484,62,3241,79,1474,259,2121,456,1304,1096,799,497,778,829,133,0,47,75,WI-02
562,0,1803,389,1174,508,751,1316,1229,607,581,391,613,190,362,0,203,0,WY-00
,,,,,,,,,,,,,,,,,,PA-14
5957,134,11187,242,6598,1154,5439,2023,5769,1900,4924,525,3031,307,1466,0,536,0,PA-06
,,,,,,,,,,,,,,,,,,PA-12
,,,,,,,,,,,,,,,,,,MO-02
1439,0,2816,230,1820,307,2397,308,826,689,1052,492,883,204,133,66,26,0,MO-01
3860,1218,5357,1797,2322,1666,3097,1873,1924,2043,2203,1525,1249,454,591,0,662,0,MO-05
1390,0,1841,464,1122,620,824,1365,1033,443,702,631,614,0,524,0,72,0,NE-01
904,94,2020,598,597,498,1138,197,900,619,1320,251,484,139,302,0,48,0,NE-02
6705,816,11227,2185,5343,2472,5313,2399,8468,2035,4765,1963,2712,857,1050,235,753,871,NV-04
,,,,,,,,,,,,,,,,,,NH-01
576,0,3450,448,749,283,529,767,2891,379,1880,103,941,61,179,0,129,0,NJ-03
629,213,3443,1371,1517,540,885,837,976,1811,1557,988,1144,180,238,0,233,0,NJ-04
3436,90,9680,57,4056,302,3860,555,3453,2519,3006,820,2906,184,2148,482,532,0,NJ-02
889,0,798,99,513,126,821,76,1084,511,1398,213,529,159,419,0,0,39,NJ-11
11942,341,26080,2794,7735,6990,10298,7811,13449,6747,13468,5418,9578,2173,5046,774,2666,57,NJ-08
3098,147,9211,509,4188,1382,5009,1541,5829,618,4179,887,5009,627,3013,25,1939,0,NM-02
695,0,3301,54,2530,249,1745,921,2238,701,929,204,1114,62,967,21,343,0,NY-20
,,,,,,,,,,,,,,,,,,NY-21
5413,0,8958,1744,5894,1640,7767,2207,6224,2043,8422,2270,4916,318,3259,316,1700,0,NY-04
,,,,,,,,,,,,,,,,,,NY-22
691,178,4329,678,1374,601,2347,918,2325,1145,2784,243,766,0,1152,49,110,0,NY-19
,,,,,,,,,,,,,,,,,,NY-27
13946,559,29863,523,14218,4102,18708,9785,16885,8825,19527,6765,14617,2307,8118,854,4576,264,NY-14
,,,,,,,,,,,,,,,,,,NY-24
2099,30,6909,538,3838,812,3245,1471,4023,1270,3171,1013,2402,749,1705,0,939,79,CA-26
5669,42,19691,684,10799,1102,12861,3556,10424,2365,11723,2249,7183,628,3747,0,2590,183,CA-19
4116,511,10190,695,7890,1300,4631,1455,5098,3242,5967,1054,5554,1188,2836,301,786,0,CA-24
7633,156,20186,349,13239,1751,14469,3000,11563,2767,10415,1363,5946,672,3072,0,1245,61,CA-06
12168,456,30362,1010,11038,2355,16642,3586,13812,5571,11017,3640,8866,1477,3317,134,1384,82,CA-11
5420,0,11451,744,6032,997,6344,1029,6866,1313,5009,1622,3140,1443,2668,0,439,47,CA-08
3367,151,7706,1011,5688,803,9224,2855,7111,2709,7853,2360,6867,627,3626,160,2952,0,CA-28
4176,75,8537,0,4357,847,10700,1732,9022,1322,6076,1714,3609,1099,3678,0,3049,0,CA-12
854,0,2209,0,1168,58,1430,431,1784,355,1743,145,1053,194,1107,0,607,0,CA-04
20766,1578,59258,3346,29119,8132,30455,7174,23513,10396,25044,8124,17338,3316,7070,431,3533,55,CA-41
5550,0,12546,0,6796,274,8702,630,8951,1627,10261,885,5644,462,2416,39,951,38,CA-17
17068,874,44294,2712,22890,3412,29757,6038,26820,6596,22671,5700,19785,2088,10966,289,8111,373,CA-38
2230,185,5400,380,2222,1249,3403,1111,2665,1878,2813,1103,1508,385,792,0,316,0,CO-05
2468,0,5645,1319,3198,538,4617,689,2744,690,3242,915,2398,602,875,0,445,0,CO-07
3402,350,5648,232,1220,577,1402,2535,2378,1507,2426,48,441,232,320,0,250,0,DE-00
2959,711,8632,475,4071,562,5117,1717,4895,1445,5521,275,3647,225,1384,0,1913,0,CT-01
3794,0,9727,976,6616,1214,7418,1930,6958,2480,5916,1776,3278,921,1442,0,606,110,CT-05
2124,0,3840,323,1351,614,3904,2301,2466,1478,3346,1039,2829,997,1615,0,2254,0,FL-14
3493,0,5848,992,2345,1611,1335,1654,2832,2119,2062,1174,1786,91,1448,788,261,0,FL-16
2263,797,9496,1918,3624,663,5513,2489,4250,4025,2440,1328,3030,632,1184,0,462,0,FL-15
315,0,1458,41,667,69,1243,183,1317,67,905,859,1420,381,586,0,911,0,FL-12
,,,,,,,,,,,,,,,,,,FL-02
1170,388,2488,545,878,1767,1880,2955,2032,2994,2990,1040,2389,558,1958,321,694,0,FL-21
2177,0,5041,2872,1333,3241,1157,1731,1874,2509,1804,843,1373,1248,609,0,52,0,GA-13
1454,61,3375,621,850,295,263,673,952,1104,426,461,76,312,67,318,0,0,GA-02
848,89,3707,600,361,654,1340,683,1060,1361,1086,1706,177,71,218,0,0,0,GA-14
1618,0,2956,1179,1341,743,1048,837,1449,1615,807,976,86,600,571,0,119,0,GA-12
3962,0,8940,479,3508,1818,4202,1484,3783,1742,3187,1208,2203,1173,2090,98,331,0,ID-01
,,,,,,,,,,,,,,,,,,HI-02
,,,,,,,,,,,,,,,,,,IL-18
1658,0,3658,572,2332,408,1546,1685,1622,1109,3144,465,1094,125,1158,52,225,0,IL-14
2156,0,4814,446,2313,524,1580,353,1892,865,3520,694,443,79,235,14,126,0,IL-16
1189,0,3760,162,1936,989,1463,175,1515,477,1441,415,505,209,261,0,337,0,IL-17
6393,349,13567,945,6287,1446,7538,1856,9249,2365,7416,2078,3466,983,1914,522,374,266,IL-03
3246,363,12773,1109,5088,932,5487,1433,5371,3680,7085,2276,2416,380,1290,54,413,96,IL-11
,,,,,,,,,,,,,,,,,,IL-15
1449,66,3785,1773,3165,733,1891,612,2803,1179,2916,1105,1658,100,347,0,28,0,IN-02
,,,,,,,,,,,,,,,,,,IN-06
496,242,2808,221,790,298,1797,714,730,491,1762,372,802,393,408,0,0,0,IN-03
1574,289,4960,1491,1500,192,1893,1617,2257,1295,1190,653,529,288,151,0,0,0,IN-04
591,162,1395,242,2254,41,718,273,1067,150,647,299,840,0,525,20,18,0,IA-04
,,,,,,,,,,,,,,,,,,IA-03
2310,0,5333,567,1472,948,1264,793,1155,1477,997,363,952,498,205,229,38,0,KS-04
1013,21,1226,0,791,207,660,645,262,501,340,156,204,87,128,85,55,0,KY-02
,,,,,,,,,,,,,,,,,,KY-03
,,,,,,,,,,,,,,,,,,KY-04
1589,357,2284,1821,510,1257,1691,2517,323,1423,305,1608,209,1044,43,515,0,0,LA-06
,,,,,,,,,,,,,,,,,,LA-03
,,,,,,,,,,,,,,,,,,MA-06
9114,419,15756,835,8825,1224,10775,3637,11217,1753,10748,724,6771,318,2222,102,2000,0,MA-03
,,,,,,,,,,,,,,,,,,MI-07
487,154,1631,0,416,267,879,485,801,143,1110,133,487,5,117,0,398,0,MI-06
481,0,1295,548,331,330,291,97,658,0,815,533,268,577,15,0,242,0,MI-10
,,,,,,,,,,,,,,,,,,MI-04
,,,,,,,,,,,,,,,,,,MI-11
,,,,,,,,,,,,,,,,,,MI-12
1555,0,5515,629,2636,798,1552,322,2386,1467,1077,335,835,0,220,0,91,0,MN-02
211,111,735,107,222,87,400,367,169,36,349,40,101,42,36,0,0,0,MN-08
884,0,2256,703,899,356,777,726,1683,451,1339,112,455,73,242,0,313,0,MN-04
