Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
3382,531,4379,687,1017,276,2271,231,2048,203,809,572,1229,0,493,0,323,0,GA-11
3875,158,9971,426,3580,191,1327,952,1693,553,569,282,407,0,231,0,266,0,GA-12
4978,197,9062,434,2149,692,2307,532,688,252,547,739,626,120,807,0,253,0,GA-13
4483,678,10083,486,1205,262,586,1167,1467,113,684,0,1356,567,451,0,238,0,GA-14
19778,60,34020,828,13867,310,19818,896,16181,315,11886,208,12546,508,7930,38,3844,0,HI-01
22131,681,45451,1550,14077,672,17109,1196,18495,630,15983,516,13914,443,10115,44,5432,0,HI-02
4314,0,10376,651,2162,731,3077,319,1523,1373,1913,933,2807,212,1371,0,938,0,ID-01
4144,5,8304,14,2481,386,3033,978,1987,195,1417,212,1204,44,308,0,326,0,ID-02
3425,114,6027,46,852,293,1075,726,1363,178,1904,150,948,75,408,0,139,0,IL-03
2964,49,5738,292,1967,839,4162,615,2566,623,1018,249,1276,117,513,0,348,0,IL-04
4403,0,5921,124,1778,159,3240,252,2384,73,2096,511,788,0,787,0,351,0,IL-05
4417,0,6720,73,2065,220,2028,189,2370,199,1338,103,964,105,379,146,181,0,IL-06
2790,0,3785,70,2382,943,2827,530,2664,149,1296,52,796,112,247,0,484,0,IL-07
3991,198,7130,182,1819,97,3245,993,2821,233,1537,179,1074,235,265,0,185,0,IL-08
4410,42,8265,89,1786,44,3192,937,2026,237,1397,83,1467,23,1093,0,274,0,IL-09
2021,0,7249,76,2483,365,1517,554,1719,209,2122,49,1265,44,988,0,137,0,IL-10
3832,221,7892,468,3458,256,2479,399,1978,490,2714,290,940,260,649,0,419,0,IL-11
2826,109,3670,236,2632,236,1005,459,989,431,947,24,721,206,406,0,271,0,IL-16
3489,27,7056,0,2040,218,1288,28,1010,115,1003,184,716,198,570,0,250,0,IL-17
2938,0,6559,288,2170,293,1078,429,2163,135,1077,0,963,137,557,0,369,0,IN-01
5552,70,6098,260,1906,688,1958,463,1722,0,556,0,333,142,825,0,180,0,IN-03
1814,732,5370,949,1966,614,1261,163,1589,540,576,165,857,85,500,0,141,0,IN-04
3344,47,4079,320,1795,748,2591,472,895,108,1189,194,477,585,208,0,499,0,IN-05
6635,155,6339,745,3742,846,4150,883,1404,62,500,380,835,153,409,0,143,0,IN-07
2073,0,6781,136,3527,576,1935,222,987,558,651,0,1061,148,300,0,805,0,IA-02
