Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
,,,,,,,,,,,,,,,,,,MA-04
14451,864,35029,751,20797,2187,26485,4087,26606,1897,23192,1874,22566,545,14990,479,10672,84,MA-07
2332,0,7721,0,4270,29,4515,954,4813,331,6177,0,4240,0,2424,0,837,0,MA-02
1155,0,4544,94,2228,61,4398,598,4096,80,2729,243,2855,28,1407,0,1731,0,MA-09
5750,0,17947,285,7704,999,12057,798,10211,1167,9966,838,10139,519,4109,0,3257,0,MA-08
4566,0,7728,57,4625,943,6868,608,5608,343,5425,0,4892,84,3479,0,1850,38,MA-01
6357,0,5490,179,5433,142,5036,452,5211,370,4780,281,4003,484,3146,0,1131,0,MA-05
,,,,,,,,,,,,,,,,,,MI-01
4059,111,9512,43,4632,461,5049,466,6323,408,4024,320,3705,114,2574,0,1736,0,MI-02
29382,797,65009,1883,31559,3082,46611,6078,37583,4554,45322,2545,46997,2977,36197,0,21061,33,MI-14
5549,0,12130,232,4853,1200,7100,1779,5865,338,5548,817,6632,457,4276,174,1918,0,MI-03
9600,113,23260,473,9922,1293,12568,1696,11957,929,12937,1002,13865,509,10305,0,5786,0,MI-05
30435,1223,60424,3380,29761,5550,41630,6751,37017,5367,41264,4230,38600,3220,31751,150,21516,160,MI-13
5770,29,18586,755,8321,1280,14942,910,13681,1293,12495,546,9885,467,6343,0,2507,0,MI-09
3501,0,10053,92,5543,378,5124,836,4613,608,4248,379,3806,335,3105,0,1769,0,MI-08
,,,,,,,,,,,,,,,,,,MN-07
3988,0,7855,0,2632,0,4087,448,3754,785,2356,34,2000,64,224,0,1166,0,MN-06
3007,502,4628,307,1263,865,1847,878,1246,360,2173,875,981,0,628,82,42,0,MN-01
5316,0,17902,0,4198,424,7576,656,10052,260,7007,300,3677,214,2283,0,406,0,MN-03
13383,170,25753,1269,10039,2510,15659,3194,14011,2504,8189,2793,9773,1254,5502,202,3510,0,MN-05
12795,569,31061,1118,17958,4453,20007,6861,17613,3450,18310,2907,16690,2719,12220,0,6843,0,NC-13
11301,76,29061,606,12167,1702,14981,2946,15855,2628,17041,2329,18811,1860,13484,240,6624,0,NC-09
996,499,3388,1036,2643,1009,3770,1415,3092,866,914,68,686,209,499,141,0,0,ND-00
5804,279,12552,238,4142,1300,6665,986,7291,524,8198,464,7614,402,5892,0,4203,0,OH-02
535,0,1789,340,1110,162,957,68,1243,26,1367,21,1669,144,790,0,792,0,OH-06
1927,0,5861,532,2253,319,3537,121,5142,196,3036,563,4432,58,2467,50,1205,0,OH-04
799,0,2288,70,977,38,1657,45,1711,0,1526,304,1158,0,1475,0,664,0,OH-16
25613,763,61491,2062,33198,4408,38304,5378,35142,4088,39715,1972,46669,3121,31229,0,23312,0,OH-11
4027,95,8465,620,4316,1742,5126,626,6126,525,5642,564,4721,647,3234,460,1756,0,OH-08
5756,350,12658,1120,5455,2183,6693,3197,6328,1957,7540,1033,6531,1124,4549,50,2249,0,OK-01
9339,483,19916,1151,8039,2666,11354,3770,10628,1920,9470,2115,10969,2362,7592,153,4127,0,OK-05
3247,0,6730,65,3411,431,5588,683,5327,564,4005,220,4639,642,3065,0,1554,53,OR-03
,,,,,,,,,,,,,,,,,,OR-04
2858,427,6306,497,6699,738,5689,562,5164,1142,4709,776,4865,73,3520,321,1108,0,RI-01
9140,708,20897,1765,10031,4236,11843,3891,14334,2357,14707,1952,14859,1296,13031,233,6638,0,SC-03
15472,144,36619,816,15471,6753,17710,6383,18364,6374,18601,4629,21078,4197,19289,344,9290,0,SC-07
23453,1093,57435,2247,29445,10064,33556,7936,32755,8920,31588,6897,41351,8501,33550,40,21128,89,SC-06
5192,85,12250,642,6489,1028,8103,1725,7016,1600,7863,1683,8999,1301,6652,0,3596,0,TN-03
14866,51,37452,589,13888,4879,17273,6829,21835,3672,17717,3922,20940,2898,17094,237,8730,24,AL-01
