Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
35532,1069,89898,4281,38489,13574,43986,19737,42264,23573,36929,16760,38918,6905,26528,592,13946,685,IL-04
7625,0,15615,2197,7244,1089,7721,4246,6889,4489,7805,2838,5560,610,3082,80,2401,239,IL-09
2331,42,4700,184,1778,355,2219,1237,2097,348,1728,490,1991,181,972,0,170,0,IL-12
23723,1275,44954,4620,16441,5480,20920,9407,18466,8977,18514,7396,10702,2967,4270,164,2295,43,IL-08
3021,682,5058,1162,3253,243,2704,1543,2013,1612,2288,699,1589,529,689,0,207,0,IN-09
3006,0,4881,388,988,553,1753,1013,2008,926,842,233,826,305,631,233,131,0,IN-08
10132,148,25835,2083,10833,2751,11925,2405,15155,2509,10773,1633,9886,697,5867,0,3248,0,IN-01
4524,828,8007,1442,3547,671,5301,1187,4316,1958,2803,787,1794,717,1132,199,578,0,IN-05
11013,1087,23363,3296,6974,2543,8183,4091,8278,4483,6483,3007,4138,317,742,559,678,0,IN-07
4913,24,8851,548,3363,767,3447,1370,3837,1249,1788,227,1317,316,759,0,551,0,IA-01
4223,174,11553,664,4836,1167,5477,790,4646,1205,3816,800,3879,515,853,56,495,0,IA-02
11851,716,24979,4843,10288,4978,9865,2859,9492,4874,8376,2561,6127,1069,4509,587,1869,138,KS-01
9237,2029,21244,5164,5961,4522,5782,6574,8356,6099,6489,4216,3924,2183,2963,0,1228,162,KS-03
4757,50,12908,1118,5897,1455,4997,1320,4174,1838,3264,1152,2747,699,1755,0,849,0,KS-02
5633,237,8492,1454,2605,1507,2478,1997,2977,4062,2070,889,2083,473,654,87,302,68,KY-06
2244,26,5944,596,2364,133,2241,1307,1273,426,965,861,710,290,757,0,482,0,KY-01
2262,164,1950,41,1415,82,460,246,237,301,429,516,442,0,221,0,429,0,KY-05
4178,0,5312,974,1920,705,2875,773,2372,2315,1804,229,1737,98,1649,0,1278,0,LA-04
5644,208,8271,2357,3122,2061,3352,4164,5658,3306,2837,960,4091,961,2456,229,1985,0,LA-02
7194,82,13646,1182,3704,2165,4848,4122,6825,4855,5131,3300,4937,2030,2963,0,3329,0,LA-01
1766,125,3147,597,1015,429,1258,1284,1045,902,830,1061,549,161,1137,63,593,0,LA-05
853,0,3069,0,1151,410,1904,283,1452,305,906,185,901,0,737,0,553,0,ME-01
1222,31,2148,0,702,88,1700,337,1007,143,435,102,819,197,175,0,601,0,ME-02
3077,196,7420,1342,2720,901,2128,1192,3189,2007,3869,583,1589,936,803,0,831,0,MD-01
8264,441,17565,764,5616,1139,8141,1566,10206,2956,6501,1305,4440,520,1621,0,1081,177,MD-03
17692,1449,27097,4989,5977,4829,7720,9048,13414,12172,7129,5729,6795,2556,3013,806,1138,57,MD-04
