WithAnInternetSubscription,WithAnInternetSubscription_Dial_upWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandOfAnyType,WithAnInternetSubscription_CellularDataPlan,WithAnInternetSubscription_CellularDataPlan_CellularDataPlanWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL_BroadbandSuchAsCable_FiberOpticOrDSLWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_SatelliteInternetService,WithAnInternetSubscription_SatelliteInternetService_SatelliteInternetServiceWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_OtherServiceWithNoOtherTypeOfInternetSubscription,InternetAccessWithoutASubscription,NoInternetAccess,stateId
271827,138,271689,254079,21583,240457,15207,13928,1153,394,4689,11957,WA-01
261225,919,260306,230251,31623,208237,23665,23253,4274,273,6967,27400,WA-05
271571,390,271181,245636,27455,234120,23542,14847,712,172,7169,17683,WA-02
268540,667,267873,241620,27050,230064,23768,15797,1135,281,6947,19050,WA-06
187522,1054,186468,151356,26359,149242,30302,14965,2996,300,6252,43524,WV-03
251516,660,250856,228076,30621,208544,20315,17348,1478,391,5908,27438,WI-01
270883,1080,269803,246968,32276,223679,19812,18991,1607,749,6445,25448,WI-05
289972,870,289102,264598,29726,244114,21453,22160,2032,122,8902,21549,WI-02
205377,798,204579,174439,29167,155387,24489,27620,3479,274,6562,21189,WY-00
247218,1065,246153,215133,34207,202650,27210,12155,2592,159,5329,40289,PA-14
242388,810,241578,222542,25797,212385,18051,7748,558,0,4082,23797,PA-06
224575,1751,222824,188543,30572,179826,30050,16067,2239,288,5669,45840,PA-12
284246,696,283550,264029,26888,249152,16908,21957,1236,67,3117,20294,MO-02
272313,247,272066,247995,41515,219007,20500,20721,1555,701,6763,41883,MO-01
274366,708,273658,249735,45248,218997,20987,16340,1497,195,14253,35676,MO-05
228317,783,227534,208338,26754,188078,17282,18166,960,310,6568,24242,NE-01
237832,380,237452,221137,29535,202504,14972,9771,460,67,6053,18992,NE-02
223992,272,223720,201922,28364,185611,19396,22392,1098,0,15933,26477,NV-04
248391,474,247917,225355,22467,221889,21458,7650,342,0,5935,20460,NH-01
259602,627,258975,236508,20724,233541,20897,8993,364,184,5517,19675,NJ-03
243548,443,243105,221527,22041,218683,20010,7399,392,107,5157,26912,NJ-04
239164,468,238696,196652,24131,208876,39637,11701,700,83,5268,27076,NJ-02
255023,452,254571,238672,21405,229619,14798,8298,420,82,2411,13550,NJ-11
245249,429,244820,230970,31914,203994,12346,8995,0,106,5885,36195,NJ-08
194568,609,193959,167104,36490,138172,17212,23764,3312,1367,10152,50205,NM-02
262722,709,262013,237633,27081,230898,22727,8313,575,228,9780,30350,NY-20
236598,1257,235341,190812,26128,196382,39710,15850,3324,153,7654,36513,NY-21
212323,103,212220,193037,17988,191711,16241,5719,456,178,11188,15060,NY-04
235246,972,234274,199697,28544,195460,31623,13615,1590,220,9679,32340,NY-22
234410,853,233557,189784,25103,196508,40247,15313,2279,155,7467,30364,NY-19
259614,812,258802,227578,35524,213794,28028,15402,2040,126,5973,31355,NY-27
205227,166,205061,189069,38657,163073,14671,9056,711,0,6508,30967,NY-14
237883,839,237044,205035,27828,201127,27809,10378,2019,576,10006,32954,NY-24
203662,674,202988,191333,15021,182701,10205,11518,858,164,5080,18664,CA-26
210099,327,209772,197901,18782,184402,10262,14681,959,185,3407,15027,CA-19
235070,449,234621,218721,25977,195778,13368,19952,2145,57,5038,16979,CA-24
255594,523,255071,239972,36878,209729,12983,20173,926,0,4683,20827,CA-06
252741,293,252448,238252,25543,220528,12827,15791,696,0,3285,12466,CA-11
201445,115,201330,184136,28232,161981,13722,17062,2619,305,6697,20581,CA-08
263068,523,262545,245305,28578,227626,14006,16436,1083,44,4228,28190,CA-28
296552,405,296147,282054,24774,266610,12241,9486,545,47,7085,28321,CA-12
261373,1120,260253,236739,21998,216142,17477,36708,4002,424,5257,20110,CA-04
176212,65,176147,165458,23976,146225,8534,16979,1244,32,3727,15207,CA-41
252249,368,251881,241711,14714,234001,8891,11320,626,69,2098,10326,CA-17
177277,333,176944,156078,18404,152326,18980,23113,799,78,4773,21121,CA-38
281859,852,281007,247890,30997,234896,29070,24529,2148,233,5139,18278,CO-05
274742,569,274173,253636,29164,238887,18428,17768,1312,0,5483,23364,CO-07
334478,430,334048,308839,43002,281544,22508,14294,1396,176,9341,32420,DE-00
245337,1058,244279,215790,33199,202829,23898,12478,3734,160,7244,28282,CT-01
236812,807,236005,207771,24824,207188,27279,8773,72,50,6535,31209,CT-05
282382,128,282254,267612,33744,241055,12783,10836,543,321,5267,22122,FL-14
294257,346,293911,269436,29048,258458,22474,10322,698,199,12256,25514,FL-16
245722,443,245279,229805,39835,198706,13913,11325,1053,156,5585,27789,FL-15
273789,509,273280,231889,26274,238396,38853,12819,1321,191,11733,29534,FL-12
229519,398,229121,202814,36084,172375,20978,26133,3366,237,6687,38565,FL-02
263241,807,262434,229372,29262,224919,29221,18333,1767,205,10038,30891,FL-21
242352,447,241905,219736,33260,199086,19216,18657,2118,0,10522,20143,GA-13
179136,570,178566,159084,40711,125772,16350,21679,1507,122,11840,54004,GA-02
217004,549,216455,185465,43650,164319,28711,19307,964,106,5740,36504,GA-14
194029,240,193789,170212,32843,149427,20599,17675,1414,349,6981,46709,GA-12
304111,1470,302641,272866,41410,233488,22559,37778,4477,405,9555,27863,ID-01
192962,476,192486,175718,21518,164888,14539,10383,593,245,4730,24167,HI-02
236961,947,236014,195078,31780,188596,37087,22409,1998,187,8986,34801,IL-18
241656,474,241182,224187,22248,208560,14742,19341,803,214,3583,11476,IL-14
241301,463,240838,219810,30337,192324,17743,28010,2108,246,6732,30943,IL-16
227618,1173,226445,197700,45743,167801,24888,17117,2194,207,7364,44194,IL-17
208896,660,208236,184539,23327,178707,21949,16275,831,45,6867,30220,IL-03
223425,155,223270,201056,18972,199240,21095,12436,536,55,5201,21771,IL-11
229751,987,228764,204744,51865,155024,19177,28453,3650,106,7199,40216,IL-15
220282,923,219359,193440,33733,170583,21310,23623,2410,597,8719,39255,IN-02
232821,1438,231383,206131,41154,171844,20449,22720,2687,994,6171,41452,IN-06
245765,792,244973,220041,44233,185376,21619,19929,1363,760,6446,39449,IN-03
251422,1452,249970,227183,45997,189831,19375,24824,1518,252,10034,33472,IN-04
257972,1961,256011,230306,53256,186342,21311,24526,2729,128,14959,41535,IA-04
292620,997,291623,268990,38073,235961,19191,29467,2367,167,13071,36334,IA-03
241471,496,240975,218962,35187,190287,18347,23189,2379,186,5782,34299,KS-04
249211,1150,248061,215863,38901,191247,28008,22586,2851,276,5182,38936,KY-02
268561,553,268008,249505,51695,209470,16906,15401,746,148,4990,33974,KY-03
243076,976,242100,216233,35246,196635,23464,16176,1448,52,9021,35899,KY-04
256423,415,256008,230718,33629,211582,24208,21899,569,0,8176,27785,LA-06
250868,452,250416,233049,47198,190152,14246,25190,1498,167,4143,42607,LA-03
269181,559,268622,241591,23007,243179,26443,6528,125,0,5398,20245,MA-06
254859,431,254428,234073,20535,230450,19245,7311,326,201,6495,26397,MA-03
238721,930,237791,213654,37349,183606,20043,20620,2167,264,6634,34741,MI-07
239168,1215,237953,214060,49047,174580,20636,19382,2147,50,11848,32886,MI-06
252847,901,251946,221195,37597,195274,25686,24335,3286,553,4255,29917,MI-10
226960,1409,225551,188578,42612,158770,29952,28910,4772,475,7456,38119,MI-04
272439,611,271828,254191,24057,242476,15800,12600,1048,222,4183,15437,MI-11
244110,452,243658,205753,23288,212635,35751,12794,1263,0,11405,22392,MI-12
244969,644,244325,227607,20783,214607,14800,17183,1180,79,4845,16918,MN-02
238463,1549,236914,208862,46374,169665,23132,26318,2973,150,6260,38589,MN-08
241421,952,240469,221922,29544,205164,16053,12871,746,0,6115,21657,MN-04
290254,334,289920,253983,36220,244754,32069,17923,2056,240,7367,25488,AZ-09
213896,850,213046,191289,56955,138132,17047,24129,3091,447,13563,55797,AR-01
204419,653,203766,177275,56884,125442,21150,30475,4028,174,6501,60619,AR-04
184372,526,183846,169462,37881,135351,11709,17530,1977,92,4123,28754,CA-16
235197,84,235113,216034,33893,196325,15888,15785,752,250,13815,26515,CA-37
260432,148,260284,243052,19942,236405,16063,13124,308,143,3600,12232,CA-53
199477,398,199079,168433,21704,164046,28126,22521,1736,128,10667,19825,CA-31
251314,304,251010,234876,46606,191796,14232,21860,1292,247,6162,38845,TN-04
233073,1118,231955,193624,32743,183145,33230,21046,3151,288,8619,41188,NY-23
229337,121,229216,203360,35224,189762,23362,11021,807,77,8524,39370,NY-16
225459,1539,223920,189019,31022,188364,32559,10097,641,246,6115,33448,NY-11
206968,215,206753,196217,47163,154774,9233,7353,128,90,5707,50158,NY-15
260330,266,260064,232636,28632,226474,25696,21631,737,246,6316,42336,NY-08
341656,155,341501,312712,28776,308694,26550,7435,1169,276,6612,18728,NY-12
228636,557,228079,205911,20951,203794,20964,7705,137,138,4396,20072,NY-18
244967,217,244750,219609,41252,192072,22212,18592,1958,40,11671,49235,NC-01
270554,574,269980,247434,38684,220090,20306,19571,1307,174,6249,42526,NC-07
285822,166,285656,256796,28482,245578,26266,17231,1420,752,5768,29771,NC-02
242576,473,242103,215777,27372,204466,22920,16819,1781,97,14227,48457,NC-06
252572,454,252118,213208,35302,203634,35411,19021,2227,373,6860,37246,NC-03
247622,707,246915,222047,37727,196900,22132,19283,1884,137,7414,43358,NC-10
313753,882,312871,292562,29040,271818,17840,17257,1096,227,7956,16217,NC-04
253654,1221,252433,203863,34805,208111,45386,17292,1385,265,9223,42699,NC-05
268587,361,268226,249595,28954,232508,16275,12277,523,452,7471,24278,OH-01
267109,1087,266022,234772,40694,207329,26632,26187,3271,50,7690,48720,NC-11
261335,935,260400,231442,30212,219418,23934,17709,3552,836,6118,31119,NC-08
307281,0,307281,251452,35300,263597,49613,12493,580,4120,5282,29153,NC-12
231035,869,230166,201912,31949,183922,24507,20908,2039,396,10042,43384,OH-07
247984,822,247162,218128,23240,214622,26465,16311,1294,225,7366,33833,OH-14
279705,374,279331,256701,36269,237501,20783,11603,574,0,6126,32569,OH-03
262170,180,261990,236306,37159,214795,22493,17146,1751,149,5664,32987,OH-10
256297,805,255492,231705,28436,211838,20528,22463,1882,136,6329,31243,OH-05
252288,732,251556,206630,34721,209346,41441,16035,1794,315,10356,39329,OH-13
260855,812,260043,236907,35696,211350,20181,20176,1905,9,4710,28035,OH-15
246177,881,245296,215802,37608,199412,26150,16109,1550,171,10445,40933,OH-09
275650,573,275077,249879,27476,238911,22620,15492,824,103,4702,20731,OH-12
213830,961,212869,186566,64858,116828,15199,35934,6832,901,8788,62518,OK-02
236418,549,235869,212875,49898,161479,16847,31902,3724,266,7940,41922,OK-03
