Less_than_high_school_graduate,High_school_graduate__includes_equivalency_,Some_college_or_associate's_degree,Bachelor's_degree,Graduate_or_professional_degree,Male_Less_than_high_school_graduate,Male_High_school_graduate__includes_equivalency_,Male_Some_college_or_associate's_degree,Male_Bachelor's_degree,Male_Graduate_or_professional_degree,Female_Less_than_high_school_graduate,Female_High_school_graduate__includes_equivalency_,Female_Some_college_or_associate's_degree,Female_Bachelor's_degree,Female_Graduate_or_professional_degree,stateId
34230,36567,39793,56611,77941,38573,42154,47959,62460,94395,29774,30717,36000,50720,69543,RI-01
25884,30341,33424,44778,55583,29760,36674,41253,57224,71019,20248,21807,26896,35692,51462,SC-03
23583,27337,32072,44227,52326,27162,33026,41734,59059,70993,17323,23307,28002,38912,47606,SC-07
20706,26711,28518,40480,51499,25577,31274,33550,45428,60199,14553,21792,26324,35959,46493,SC-06
26765,27734,35426,50883,60214,29392,34217,41231,62011,80594,23544,21092,30113,42724,52046,TN-03
23260,31043,35210,45486,56351,28541,37313,49928,53783,63019,18535,22860,27961,37443,51891,AL-01
21441,31916,34912,47179,57881,27990,38464,46559,58588,75690,13053,24377,25812,40658,51554,AL-03
20503,32116,37330,54498,75376,25385,40833,50227,71357,101519,16486,25430,30542,41703,55081,AL-05
22776,31023,34886,49299,57338,26469,36814,43151,66805,80481,17846,21275,26949,36580,53283,AL-04
20889,27499,27491,42434,50408,23309,34048,31532,52127,61863,17468,21094,26061,39877,47002,AL-07
27819,28944,33859,45155,57782,30555,31795,42688,57304,80422,20391,24881,27621,39143,51097,AL-02
28646,31650,40962,60755,70591,31925,40819,50476,76409,86404,17267,24203,33888,47885,60787,AL-06
23264,36522,47878,53033,71947,26958,41799,55895,63483,79070,20174,27842,37463,47286,67985,AK-00
25965,31020,36144,44045,61886,30899,36095,45141,54731,74000,21481,24990,30318,38424,56761,AZ-01
22575,31031,33256,45928,56547,27040,34073,39667,50102,64095,19861,25809,29891,42673,51413,AZ-03
30339,38251,42899,62342,82443,32104,45375,51991,81329,110247,21264,29934,36108,51232,61761,AZ-05
25169,31807,32212,46278,55772,27453,37372,39237,59716,68392,21992,25630,28562,38003,50670,AZ-04
25599,30519,32151,46129,64876,29449,35228,36658,50230,70123,20675,25033,29129,42376,61599,AZ-07
22125,29255,33267,46584,64424,22389,31204,38969,58045,87795,21611,25547,30006,38576,50581,AZ-02
28184,34578,41028,60713,82373,30829,38513,46576,78716,101973,21643,29271,36490,50650,70349,AZ-06
