Income_in_the_past_12_months_below_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_below_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Female_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Bachelor's_degree_or_higher,stateId
2127,7123,5048,1707,4105,11415,8221,2586,12657,63892,69046,59120,10418,58498,69837,73905,KS-02
7894,10755,5511,3394,7578,10519,10414,3011,19070,64953,57097,75512,15474,57444,71250,89058,KY-06
10183,12870,4481,1757,12874,16791,10732,2158,24347,87612,54855,33106,17517,73540,69517,46874,KY-01
20389,17981,5454,1986,19029,23265,13042,3105,33847,74138,43802,25864,28094,64982,56052,35378,KY-05
10832,16825,5811,1491,16967,21438,10694,4098,21034,78642,53893,37164,20137,64899,64761,52200,LA-04
12646,16425,7055,3335,13523,21404,15517,4614,28625,67690,56644,55818,26494,61789,70556,74968,LA-02
8628,5761,4993,3218,11037,12199,11309,4218,27075,67970,61640,78701,17718,68038,72134,90997,LA-01
10211,13903,5732,2403,15208,23100,11678,3063,26578,70261,42958,33580,19229,65694,60615,49041,LA-05
3298,5593,3211,2858,2993,8614,8077,3971,12194,62978,58626,89771,10584,58980,61245,108885,ME-01
5327,11194,5333,2118,4821,13615,8858,4511,14611,79582,62578,49268,11340,64115,72758,65969,ME-02
4880,7236,3102,2854,4834,7317,5867,3095,17637,70563,62567,73118,15500,68173,70742,91927,MD-01
2825,4997,1840,3129,3992,6897,7788,4710,16144,40371,50254,126030,15878,43146,56539,143733,MD-03
2670,5083,3568,1961,5487,6815,5296,2941,32406,61828,59081,80076,24337,60174,68643,101007,MD-04
2345,4280,2068,1824,3505,4452,4362,2884,20822,68625,63098,75615,16568,65125,78279,95420,MD-05
6817,9322,4634,4282,8044,16695,9287,4895,17649,48152,46761,90287,19768,49453,58246,101277,MD-07
3911,7227,3787,2543,6136,11269,9129,3308,18644,62181,60404,73959,18167,63266,70686,88343,MD-02
3039,5243,3162,2445,4028,8203,7008,4023,20493,55500,50697,104199,21498,49671,60341,119671,MD-06
3810,3109,2330,3648,4586,6168,4052,5391,22544,43162,43605,135095,18041,41125,50758,148175,MD-08
3049,3880,1856,2076,3300,5839,5216,5334,14430,50255,46169,126841,13514,47291,54247,139258,MA-04
7893,10234,5357,8759,12871,11617,8576,7921,26109,47072,42835,114612,26147,47127,44077,128198,MA-07
2314,5689,4179,2338,6587,9020,6347,4692,14310,63051,58987,93866,14468,54012,63879,110029,MA-02
4137,5516,2982,2982,6100,7322,9487,3586,17924,67240,60354,92658,14371,63820,73833,106509,MA-09
1620,4193,2776,4533,4177,9304,6280,4718,20242,54563,49393,124720,18152,50559,58043,142271,MA-08
7365,8326,4610,2168,8121,11481,7627,3755,19257,71736,54881,66589,18712,65027,66720,82415,MA-01
2160,3764,2573,5479,3733,6018,4996,6590,12910,43931,37550,151114,11784,39202,43830,160844,MA-05
4076,9523,7047,1841,4438,12002,8747,3064,15262,72147,74854,62533,12024,65497,80703,65903,MI-01
3837,6763,4750,2151,3757,9072,8650,2139,17163,66672,70705,64074,15192,68030,77110,66765,MI-02
8167,11150,9531,4225,10148,14815,13070,5236,14674,46432,50899,70157,14116,45682,61822,84985,MI-14
4606,7847,4800,2056,6442,11240,9290,2813,17575,60659,71271,75682,11237,59604,74240,82258,MI-03
5965,10934,8810,1445,8602,16360,11769,3076,17769,65559,67985,43634,14450,59354,86986,46947,MI-05
11274,17467,9185,3020,15485,19348,15518,3583,21238,62146,53975,25631,21143,56884,64890,37310,MI-13
3606,6540,4532,2466,4715,9144,8380,3726,18651,63720,71394,75884,18516,70700,75786,81283,MI-09
2008,4738,3756,3333,1764,5867,6901,4800,10878,48539,66770,96140,11022,46723,74938,104460,MI-08
2771,6887,3497,1600,3975,7781,8104,1407,14575,67727,77381,45707,11339,55738,80385,56363,MN-07
2364,3815,2187,986,3230,5179,6469,2023,11626,63480,78577,71328,9579,51747,79982,80611,MN-06
2166,5474,3884,2205,2610,6764,5989,2512,15204,63267,67269,60108,9832,50747,71891,76072,MN-01
1769,3203,3075,1544,2286,3699,3786,3233,8529,38150,64939,122214,9197,42990,70015,128209,MN-03
4582,7376,7225,4154,6746,6952,9230,5555,12811,39250,58447,115428,13690,33915,56346,117728,MN-05
7199,8806,4224,2953,9141,11039,11972,4578,23434,65648,66604,71918,20801,57710,80398,83821,NC-13
7361,8395,5110,2599,8961,13359,11973,3287,23109,52807,63434,86724,15672,47670,77456,98220,NC-09
3141,7996,5611,2449,3366,8221,8385,2280,13537,62668,88161,65381,10500,52155,78848,82039,ND-00
5557,8932,4587,2604,6978,12393,8740,2988,18412,68287,54561,76691,15671,65125,66544,86367,OH-02
4700,12371,4222,1391,5744,13501,9427,2164,20332,95277,59381,35573,16142,85013,66687,48818,OH-06
4245,7540,4273,1278,4959,12031,8047,1670,18241,88171,63699,43864,12890,83109,71715,51139,OH-04
1749,5489,2271,2632,2311,7194,5170,3038,13301,70244,65043,84097,14140,67182,72281,91767,OH-16
10023,12166,7048,4892,12719,16786,19187,4631,16082,51302,55824,57165,13508,50140,69176,65457,OH-11
4731,7622,3252,1846,5270,10955,7551,2341,14630,83473,61376,54559,16457,76340,67032,63727,OH-08
5368,8717,5637,3257,7689,11344,10728,4426,20940,61437,70801,78842,19634,58946,79863,85499,OK-01
7885,10454,5135,3244,11477,15490,11819,3802,25132,58824,67498,77257,22206,57912,70266,86337,OK-05
5880,7548,8359,5173,7869,7913,10154,8246,20235,52545,82280,121091,17061,45615,77203,139852,OR-03
4752,9661,8747,4985,3940,9621,14825,5452,20658,64503,94428,70018,16770,65084,100472,81753,OR-04
5003,6206,2969,1912,6023,7013,4564,2643,18583,45484,36866,57696,16594,45113,43110,61995,RI-01
6239,7644,4860,1815,10185,13665,9302,3227,26350,64625,61022,50489,19731,66329,69700,59075,SC-03
12462,10321,4451,2300,10785,17463,11742,4111,25018,77584,59960,50925,19877,78340,79397,61718,SC-07
8277,11143,5592,2476,12199,17677,16088,4488,24174,57399,47108,40630,18664,51858,56733,52125,SC-06
9667,11228,5173,2317,9763,14934,9911,4107,23996,70119,63791,61373,18659,66808,74362,69456,TN-03
7842,8935,4458,1277,9909,16476,9717,3683,21804,69886,56784,55199,16408,68114,75232,63776,AL-01
7727,7063,5052,1268,10232,13561,9191,2675,26601,63315,63234,51325,24587,63072,67725,60806,AL-03
6918,6241,3062,3319,8654,10927,7682,4350,18034,57633,60201,81726,16714,60074,73053,80237,AL-05
10117,10466,4937,1452,12925,12738,9357,1745,30210,74099,61478,36781,26441,64118,72503,43607,AL-04
8383,11850,9387,1959,12840,20227,15113,4111,20602,65911,41919,36459,16133,55456,60780,52008,AL-07
5789,7082,4774,2630,9386,12860,12398,3406,22119,61317,56591,44378,19726,60830,67374,57231,AL-02
5246,5856,3020,1969,4434,7846,6823,3881,17167,46861,61816,84076,15125,52256,67611,96555,AL-06
2292,7841,4558,1930,3709,9132,6472,2701,13719,67034,82108,63448,10627,50997,72719,77448,AK-00
8376,12024,10058,3364,8669,13784,14067,3689,22440,54381,76523,59755,19173,48734,87744,64072,AZ-01
10857,8631,6105,2029,15124,9661,9654,2243,37654,66637,64546,35319,43198,52091,70286,39776,AZ-03
2334,4087,3340,3366,2613,5652,7971,3060,14476,52055,87253,103351,13032,53633,102595,106741,AZ-05
3863,9031,10955,2196,7552,11633,14768,3389,26580,78291,96655,59664,22215,76976,106806,62315,AZ-04
17592,10622,8403,2652,22914,14905,10963,4344,56866,63578,53541,32916,47390,57382,60936,40719,AZ-07
5562,7051,6004,3177,5297,9935,10514,6816,14249,45274,78638,83286,17657,45710,80192,89887,AZ-02
4817,5310,4971,3633,5659,5799,8113,4967,19694,46518,78529,125567,19898,48971,88680,126384,AZ-06
3771,4842,6820,4014,3832,8535,10357,4193,20447,52336,92045,80698,16578,62403,100440,89612,AZ-08
6640,9144,6237,2894,10037,13703,9710,4341,29941,67784,64147,70564,26972,67130,67370,78058,AR-03
