total,noIncome,$1-9k,$10-15k,$15-25k,$25-35k,$35-50k,$50-65k,$65-75k,$75k-more,stateId
573594,42855,80125,39489,74135,64067,79429,61680,26018,105796,NH-01
613518,65499,77085,41243,71954,61978,72317,65357,30268,127817,NJ-03
591897,69618,75181,39165,67181,56662,60906,57312,25901,139971,NJ-04
589522,65369,87692,48595,84002,68334,66722,54494,22341,91973,NJ-02
610358,71624,71039,32752,55136,44385,57112,56544,29446,192320,NJ-11
619109,99577,77906,48101,87154,64005,66154,49633,20971,105608,NJ-08
555403,89112,105094,59413,86505,58177,57137,39001,14025,46939,NM-02
609077,58812,91673,44591,74178,62305,76749,65724,28616,106429,NY-20
584971,70060,90086,49763,83705,71975,76782,58565,22886,61149,NY-21
593349,81674,66689,37456,62235,52665,61175,53419,24651,153385,NY-04
579627,67480,95128,50629,83411,68232,77427,55610,21106,60604,NY-22
594463,67355,90941,49868,77394,67007,73780,58077,23633,86408,NY-19
599833,59751,80111,44671,77394,70309,84332,65889,27575,89801,NY-27
575128,100958,73765,46456,78411,69164,69921,51481,19538,65434,NY-14
582472,62938,87044,47261,79510,68076,78277,57586,26591,75189,NY-24
638169,81690,101180,55651,94746,78779,86287,52911,19778,67147,NC-13
624266,96198,93086,54148,79206,64858,73089,50187,19423,94071,NC-09
606809,47326,86751,44305,72303,73063,93991,70505,26218,92347,ND-00
592581,62074,90589,47393,82013,67980,76457,57995,22819,85261,OH-02
577495,70158,100359,53888,90774,73100,73965,49133,18210,47908,OH-06
580791,57083,97398,48545,86162,75221,82409,58375,20948,54650,OH-04
595565,54059,81412,43920,77514,68867,82664,64506,27538,95085,OH-16
566081,70423,112618,55829,82469,65514,64643,43668,15710,55207,OH-11
589040,62987,93275,45846,84096,72665,78493,57742,21990,71946,OH-08
633662,78837,91520,50723,89093,78408,84431,56530,21087,83033,OK-01
640996,83068,97898,52765,92790,77797,83944,54741,20310,77683,OK-05
700359,70129,99463,52460,91890,80553,89812,66725,28743,120584,OR-03
678730,72315,123671,65004,107497,81732,82019,57403,21643,67446,OR-04
444987,45938,72658,39902,56521,48427,54701,41552,17264,68024,RI-01
569334,72413,97939,58434,91741,70963,69139,43613,15600,49492,SC-03
598229,76131,97881,65145,101635,78200,71069,44980,15881,47307,SC-07
547935,83961,107358,57180,92703,68408,60456,34346,10490,33033,SC-06
633904,80521,98531,58245,92076,79802,87758,57416,20164,59391,TN-04
574258,85016,84014,48897,77785,63998,68645,49683,19414,76806,TN-08
629327,76566,93589,59369,93882,80918,85178,54761,19008,66056,TN-06
554170,127089,79766,47320,89087,68703,61088,39528,10703,30886,TX-29
586587,88969,92289,54665,83088,66716,66410,49579,18593,66278,TX-27
599336,109449,84676,43860,73069,58885,61523,52535,19835,95504,TX-14
587834,100472,83619,50076,87967,70079,70660,49060,17534,58367,TX-05
608482,83993,93037,58784,92966,74677,74528,49399,18835,62263,GA-09
600935,80923,62784,32548,61176,53072,62284,54246,24245,169657,GA-06
591172,82173,94198,50223,87235,71544,71795,49255,19206,65543,GA-01
566785,100201,89945,52437,81714,66569,64356,44434,15803,51326,GA-08
645081,70634,115751,57101,97840,77647,81621,55036,21028,68423,ID-02
573696,89389,95398,44736,72737,60719,63194,50242,20834,76447,IL-01
600985,97412,93037,45896,70764,52409,51563,45271,21052,123581,IL-07
623003,64803,67740,34751,62013,57339,68450,71276,30400,166231,IL-05
586760,80509,103679,45895,78370,62973,72586,52615,21467,68666,IL-13
587152,67806,75759,31998,56559,49647,61268,55468,25371,163276,IL-06
572221,75448,78165,36841,69967,58588,62264,46866,20142,123940,IL-10
599892,80414,81815,38957,65112,59008,61014,51954,22895,138723,IL-09
566270,73329,93181,48978,81235,65164,71367,50925,21018,61073,IL-12
618029,71263,98806,52870,86376,75607,84097,57711,22151,69148,IN-09
586189,66103,94769,54000,86473,74248,82393,51812,19957,56434,IN-08
621925,65759,84835,40181,71782,65514,83676,61199,26425,122554,IN-05
594261,81220,93636,50448,94322,81881,81363,47291,16793,47307,IN-07
604794,74258,98836,61673,92825,72085,77465,48166,17934,61552,TN-03
633805,64579,97808,52453,89827,79159,90394,64540,23969,71076,IA-02
561987,55504,94201,48916,85750,76671,82343,51884,17592,49126,KS-01
580058,56388,96310,50731,85525,73337,82822,55364,20346,59235,KS-02
629675,68919,108726,57095,88967,75524,81100,58161,20941,70242,KY-06
570554,99598,124824,65209,91124,60967,54687,35228,10617,28300,KY-05
597534,96004,107957,63337,92476,62349,62692,43514,15390,53815,LA-04
651053,87980,100259,52599,87964,68098,75991,59307,22187,96668,LA-01
598381,119009,111115,60216,87535,61947,58865,39575,13164,46955,LA-05
788438,92132,110673,57192,99360,90701,103966,77540,33096,123778,DE-00
648446,89779,93404,55723,92914,74970,78703,53988,18837,90128,FL-14
700484,80171,87909,60220,105654,89760,90711,61690,25411,98958,FL-16
643572,98141,87443,53243,96822,82166,85908,56129,19899,63821,FL-15
651145,85019,85172,60020,102806,79549,81882,57494,20903,78300,FL-12
604252,99842,94271,55417,88338,73062,74877,45519,16897,56029,FL-02
655140,79243,84484,55855,103424,80192,78326,54923,20782,97911,FL-21
626260,71180,88500,47393,74109,62586,69467,58259,25938,128828,MA-03
581412,64859,89605,47118,79900,70284,78921,55524,22285,72916,MI-07
584178,59030,96782,51114,88265,73157,76580,54009,20342,64899,MI-06
594421,64847,87306,49354,79509,68507,75918,53648,24248,91084,MI-10
537096,89892,110794,53305,78464,63811,60622,36604,12758,30846,MI-13
603578,68462,76772,38106,64360,55816,68413,57798,26473,147378,MI-11
610648,65438,101660,44807,72721,61269,71474,54248,25298,113733,MI-08
558932,43823,71301,33168,58642,58424,80531,65154,29371,118518,MN-02
544986,40434,79937,44217,73231,67575,86641,61077,23636,68238,MN-01
570474,49049,85211,40266,66170,65237,76708,60281,24347,103205,MN-04
