total,veteran,veteranNoHighSchoolGrad,veteranHighSchoolGrad,veteranSomeCollege,veteranBachelorsOrHigher,nonVeteran,nonVeteranNoHighSchoolGrad,nonVeteranHighSchoolGrad,nonVeteranSomeCollege,nonVeteranBachelorsOrHigher,stateId
511841,19809,1512,7713,5902,4682,492032,67166,136874,109065,178927,NY-11
453596,9659,1672,2984,3591,1412,443937,150423,124522,107650,61342,NY-15
471049,46293,2942,18569,16343,8439,424756,43753,140752,123954,116297,NY-23
538519,14271,1297,4639,4580,3755,524248,79239,152818,114411,177780,NY-08
573829,15635,883,2693,2598,9461,558194,32483,54071,63606,408034,NY-12
482198,31817,1685,9587,10949,9596,450381,41990,118816,125547,164028,NY-18
510091,39982,3300,12373,14812,9497,470109,79025,131054,125153,134877,NC-01
554206,58500,2987,16220,23525,15768,495706,68635,140461,157148,129462,NC-07
555266,56453,2457,13001,23050,17945,498813,50766,116723,148156,183168,NC-02
529640,44601,3515,12800,17677,10609,485039,73458,140748,149645,121188,NC-06
482562,71730,3378,20693,29991,17668,410832,53698,117883,140964,98287,NC-03
535995,47788,3510,14606,19013,10659,488207,68659,144121,153596,121831,NC-10
568967,35839,1269,5812,13123,15635,533128,41325,76090,119613,296100,NC-04
519445,43124,3377,11989,16205,11553,476321,69514,136713,143059,127035,NC-05
553294,54198,4041,14300,20715,15142,499096,69883,144230,157269,127714,NC-11
500037,68616,2743,14856,31678,19339,431421,54011,122341,141990,113079,NC-08
573656,36625,1406,7585,14750,12884,537031,63686,99077,153227,221041,NC-12
490768,38617,2873,12172,13178,10394,452151,40745,127295,120723,163388,OH-01
496696,46353,3970,19718,15475,7190,450343,54291,175103,124693,96256,OH-07
509567,43362,3252,14846,15156,10108,466205,36387,135616,126467,167735,OH-14
506073,36799,2276,11816,14662,8045,469274,57909,139514,134661,137190,OH-03
490084,56207,2780,13953,20047,19427,433877,42583,122180,142368,126746,OH-10
489548,42397,2955,16847,14559,8036,447151,32162,155031,136534,123424,OH-05
493305,45987,3671,20341,14609,7366,447318,44713,168731,127252,106622,OH-13
524647,45436,3127,16265,15229,10815,479211,43772,153041,123974,158424,OH-15
481795,38414,3427,14341,14489,6157,443381,58779,142694,138663,103245,OH-09
532005,44912,2682,13553,15288,13389,487093,32744,122741,123500,208108,OH-12
506020,54247,5211,18147,20927,9962,451773,68797,170607,134785,77584,OK-02
505367,48984,3490,15429,18598,11467,456383,57386,159812,136038,103147,OK-03
507245,64662,3660,18098,26329,16575,442583,47415,145023,137944,112201,OK-04
586045,49595,1827,9927,20565,17276,536450,43731,101496,163365,227858,OR-01
566997,53693,2859,12489,22111,16234,513304,54971,120941,175946,161446,OR-05
578328,67160,3922,18553,28616,16069,511168,58017,139584,182836,130731,OR-02
367327,28115,2046,8428,9421,8220,339212,31569,96522,92663,118458,RI-02
547017,72536,2423,16028,27221,26864,474481,36479,109310,135800,192892,SC-01
493167,41730,2793,10266,15306,13365,451437,59559,114174,132975,144729,SC-04
488564,50747,3092,13872,20437,13346,437817,60779,137999,133179,105860,SC-05
480337,53729,2192,12258,20852,18427,426608,44397,115857,122133,144221,SC-02
570709,56757,3138,18254,20304,15061,513952,44103,154763,165691,149395,SD-00
513315,54241,4949,18441,19750,11101,459074,71643,172174,122725,92532,TN-01
530699,34509,2817,9713,11445,10534,496190,57463,117992,123620,197115,TN-05
506144,58732,3839,15656,22316,16921,447412,53656,145093,112065,136598,TN-07
512357,50619,2961,14071,18671,14916,461738,51312,136874,128693,144859,TN-02
452563,34369,2190,10125,13937,8117,418194,62164,131117,121819,103094,TN-09
437761,33735,2115,7020,13990,10610,404026,117716,114001,99104,73205,TX-28
470639,41934,2926,11371,17124,10513,428705,72877,124465,141661,89702,TX-01
524641,24968,832,3896,7949,12291,499673,55756,78604,118196,247117,TX-07
503966,42484,1799,8633,18470,13582,461482,55757,114789,151760,139176,TX-06
477303,39592,2480,10528,15317,11267,437711,61889,109760,127754,138308,TX-17
488641,43681,2893,14635,17880,8273,444960,73893,145280,141806,83981,TX-36
388592,44427,1864,13079,18005,11479,344165,24824,100351,124433,94557,WY-00
500921,48536,3248,21998,14238,9052,452385,33788,174862,117836,125899,PA-14
490072,34950,2207,10511,9673,12559,455122,42802,109771,94428,208121,PA-06
