Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
,,,,,,,,,,,,,,,,,,AL-04
,,,,,,,,,,,,,,,,,,AL-07
295,0,886,94,790,216,811,135,1334,149,347,130,1002,165,1138,0,646,0,AL-02
535,0,1814,145,511,70,1557,140,1664,279,1669,479,925,158,812,0,312,0,AL-06
1991,207,6911,628,2827,926,4095,1508,4733,284,7243,762,4871,991,3718,0,1705,0,AK-00
920,35,1797,100,927,336,807,376,2440,41,904,116,1171,302,1563,0,608,0,AZ-01
719,0,1439,177,997,410,1825,58,1291,99,1735,225,1853,100,1475,38,1014,37,AZ-03
2331,170,8262,514,3233,111,3485,254,8548,718,7456,274,4004,396,3224,93,1821,81,AZ-05
,,,,,,,,,,,,,,,,,,AZ-04
1009,317,1957,781,2155,0,2405,742,2373,734,2085,513,2637,219,1713,126,1107,68,AZ-07
478,0,1844,47,3386,366,2842,358,2631,0,2481,177,2583,161,1356,0,1621,0,AZ-02
2607,0,7132,96,3442,0,7304,608,8915,284,6145,1053,3919,535,2116,136,2017,0,AZ-06
1618,53,4094,344,1733,311,3296,212,5200,123,5186,188,2966,149,3211,128,1196,0,AZ-08
2096,0,4490,352,2619,535,3586,252,4096,167,2557,514,1356,198,1792,45,606,0,AR-03
,,,,,,,,,,,,,,,,,,AR-02
957,0,4485,152,2341,100,2285,419,3262,170,4854,71,3676,82,3791,0,2309,173,CA-36
